# 时间戳(ms),RTT(ms)
190100,34.12
190200,34.12
190300,34.12
190400,34.12
190500,34.12
190600,34.12
190700,34.12
190800,34.12
190900,34.12
191000,34.12
191100,34.12
191200,34.12
191300,34.12
191400,34.12
191500,34.12
191600,34.12
191700,34.12
191800,34.12
191900,34.12
192000,34.12
192100,34.12
192200,34.12
192300,34.12
192400,34.12
192500,34.12
192600,34.12
192700,34.12
192800,34.12
192900,34.12
193000,34.12
193100,34.12
193200,34.12
193300,34.12
193400,34.12
193500,34.12
193600,34.12
193700,34.12
193800,34.12
193900,34.12
194000,34.12
194100,34.12
194200,34.12
194300,34.12
194400,34.12
194500,34.12
194600,34.12
194700,34.12
194800,34.12
194900,34.12
195000,34.12
195100,34.12
195200,34.12
195300,34.12
195400,34.12
195500,34.12
195600,34.12
195700,34.12
195800,34.12
195900,34.12
196000,34.12
196100,34.12
196200,34.12
196300,34.12
196400,34.12
196500,34.12
196600,34.12
196700,34.12
196800,34.12
196900,34.12
197000,34.12
197100,34.12
197200,34.12
197300,34.12
197400,34.12
197500,34.12
197600,34.12
197700,34.12
197800,34.12
197900,34.12
198000,34.12
198100,34.12
198200,34.12
